# ---------------------------------- WARNING ----------------------------------------																																								
# Some of the data that you have obtained from this U.S. Geological Survey database																																								
# may not have received Director's approval. Any such data values are qualified																																								
# as provisional and are subject to revision. Provisional data are released on the																																								
# condition that neither the USGS nor the United States Government may be held liable																																								
# for any damages resulting from its use.																																								
#																																								
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/																																								
#																																								
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output																																								
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals																																								
#																																								
# Contact:   gs-w_waterdata_support@usgs.gov																																								
# retrieved: 2024-03-27 11:08:54 EDT       (sdww01)																																								
#																																								
# Data for the following 1 site(s) are contained in this file																																								
"#    USGS 01646500 POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA"																																								
# -----------------------------------------------------------------------------------																																								
#																																								
# Data provided for site 01646500																																								
#            TS   parameter     statistic     Description																																								
"#        214407       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean), From multiparameter sonde, [Discontinued]"																																								
"#        214408       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum), From multiparameter sonde, [Discontinued]"																																								
"#        214409       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum), From multiparameter sonde, [Discontinued]"																																								
"#        255631       00010     00002     Temperature, water, degrees Celsius (Minimum), From multiparameter sonde"																																								
"#        255632       00010     00001     Temperature, water, degrees Celsius (Maximum), From multiparameter sonde"																																								
"#        255633       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum), From multiparameter sonde"																																								
"#        255634       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum), From multiparameter sonde"																																								
